Date;Global Macro;Hedge Funds;Tail Risk Hedge Funds;V Fast;Fast;Med;Slow;V Slow
31.01.2000;-2.42%;-0.10%;;-0.54%;-0.78%;0.25%;1.21%;1.00%
29.02.2000;4.43%;6.49%;;1.76%;2.14%;1.64%;1.14%;2.04%
31.03.2000;-2.45%;-2.12%;;-2.53%;-1.47%;-1.58%;-1.21%;-0.62%
28.04.2000;-5.35%;-4.63%;;0.58%;-0.27%;1.02%;1.28%;1.39%
31.05.2000;2.32%;-1.17%;;1.99%;1.38%;1.68%;1.08%;0.18%
30.06.2000;1.32%;3.66%;;-2.11%;-2.93%;-1.39%;-0.57%;-0.54%
31.07.2000;1.81%;0.11%;;-1.84%;-1.53%;0.99%;1.79%;1.38%
31.08.2000;2.92%;3.39%;;1.29%;2.78%;3.93%;4.97%;5.14%
29.09.2000;-0.87%;-0.41%;;-0.48%;-0.26%;0.63%;-0.29%;-1.80%
31.10.2000;1.26%;-1.09%;;1.81%;3.15%;3.03%;2.71%;1.77%
30.11.2000;3.63%;-1.55%;;-0.53%;3.08%;4.82%;3.19%;0.13%
29.12.2000;5.05%;2.66%;;3.67%;2.46%;-0.86%;-2.41%;-3.34%
31.01.2001;3.32%;0.94%;;-0.24%;0.19%;-0.08%;0.79%;1.26%
28.02.2001;0.99%;-0.59%;;-0.45%;-0.12%;3.01%;4.43%;1.62%
30.03.2001;2.74%;-0.34%;;3.60%;5.55%;4.91%;5.47%;4.78%
30.04.2001;0.69%;0.69%;;-1.55%;-3.92%;-5.67%;-4.65%;-2.50%
31.05.2001;2.14%;0.83%;;-1.20%;-0.24%;1.22%;1.52%;2.27%
29.06.2001;1.03%;0.58%;;-1.01%;-0.64%;0.30%;1.57%;1.04%
31.07.2001;0.69%;-0.02%;;1.33%;-0.34%;-1.37%;1.03%;1.12%
31.08.2001;1.00%;0.92%;;4.15%;4.94%;2.75%;2.74%;2.21%
28.09.2001;1.17%;-0.83%;;5.52%;5.96%;5.98%;6.53%;7.25%
31.10.2001;1.18%;0.44%;;0.03%;0.71%;1.31%;1.84%;2.00%
30.11.2001;-0.37%;0.54%;;-3.12%;-3.62%;-4.74%;-4.69%;-4.97%
31.12.2001;2.47%;1.19%;;-1.49%;-1.23%;-1.11%;-1.18%;-0.76%
31.01.2002;2.64%;0.54%;;-3.43%;-2.17%;-0.70%;0.24%;0.59%
28.02.2002;0.52%;-0.56%;;-2.43%;-0.91%;-0.33%;0.74%;0.93%
29.03.2002;-0.19%;0.74%;;2.64%;0.75%;-1.04%;-4.65%;-5.45%
30.04.2002;1.70%;0.79%;;-0.48%;0.00%;-0.33%;2.58%;3.82%
31.05.2002;0.78%;0.67%;;2.70%;3.71%;3.76%;2.51%;-0.13%
28.06.2002;1.42%;-0.84%;;7.56%;7.16%;5.39%;4.79%;5.61%
31.07.2002;2.15%;-1.35%;;4.85%;4.91%;4.98%;2.61%;4.67%
31.08.2002;1.22%;0.85%;;-0.24%;2.15%;3.44%;3.03%;2.28%
30.09.2002;0.76%;0.08%;;3.52%;5.86%;5.97%;5.47%;5.18%
31.10.2002;0.72%;-0.04%;;-5.69%;-4.55%;-2.95%;-3.06%;-2.92%
30.11.2002;1.23%;1.09%;;-0.84%;-1.40%;-2.86%;-2.55%;-2.08%
31.12.2002;0.85%;1.07%;;4.59%;2.65%;6.81%;10.13%;10.09%
31.01.2003;2.03%;1.28%;;3.52%;5.60%;6.61%;6.04%;4.50%
28.02.2003;1.87%;0.68%;;3.09%;3.57%;3.87%;4.56%;4.27%
31.03.2003;-0.66%;0.26%;;-6.12%;-4.98%;-2.82%;-2.90%;-2.54%
30.04.2003;2.16%;1.96%;;0.51%;-0.24%;-0.65%;0.10%;-0.29%
31.05.2003;2.96%;2.71%;;6.36%;3.72%;4.17%;4.99%;4.24%
30.06.2003;1.63%;0.83%;;-1.51%;-2.42%;-2.83%;-2.87%;-2.25%
31.07.2003;-0.11%;0.08%;;2.04%;1.47%;-0.38%;-1.41%;-3.00%
31.08.2003;1.30%;0.76%;;0.14%;0.61%;-0.76%;-1.28%;-0.50%
30.09.2003;3.04%;1.52%;;0.09%;-3.96%;-2.31%;3.33%;4.81%
31.10.2003;0.09%;1.38%;;-0.83%;1.05%;4.99%;4.02%;-0.42%
