Date;Public Equity;PE/VC;Hedge Funds;Real Assets & ILBs;Fixed Income;Private Credit;Cash;High Yield
30.07.1999;-3.12%;;;;;;;
31.08.1999;-0.50%;;;;;;;
30.09.1999;-2.74%;;;;;;;
29.10.1999;6.33%;;;;;;;
30.11.1999;2.03%;;;;;;;
31.12.1999;5.89%;;;;;;;
31.01.2000;-5.02%;-12.80%;-0.10%;0.06%;-1.71%;;0.46%;-0.43%
29.02.2000;-1.89%;-7.80%;6.49%;-2.88%;-0.19%;;0.47%;0.19%
31.03.2000;9.78%;31.86%;-2.12%;2.64%;2.00%;;0.48%;-2.10%
28.04.2000;-3.01%;-13.99%;-4.63%;6.29%;-2.44%;;0.47%;0.16%
31.05.2000;-2.06%;-8.78%;-1.17%;0.59%;0.46%;;0.46%;-1.03%
30.06.2000;2.47%;7.67%;3.66%;1.99%;2.54%;;0.48%;2.04%
31.07.2000;-1.56%;-4.01%;0.11%;8.48%;-1.00%;;0.50%;0.76%
31.08.2000;6.21%;12.78%;3.39%;-4.27%;-0.44%;;0.51%;0.68%
29.09.2000;-5.28%;-12.05%;-0.41%;3.12%;0.28%;;0.50%;-0.87%
31.10.2000;-0.42%;0.89%;-1.09%;-4.59%;-0.81%;;0.52%;-3.20%
30.11.2000;-7.88%;-6.99%;-1.55%;1.14%;1.72%;;0.50%;-3.96%
29.12.2000;0.49%;-0.80%;2.66%;6.02%;2.88%;;0.48%;1.93%
31.01.2001;3.55%;-4.88%;0.94%;0.43%;0.48%;;0.41%;7.49%
28.02.2001;-9.12%;11.17%;-0.59%;-2.16%;0.16%;;0.40%;1.33%
30.03.2001;-6.33%;3.56%;-0.34%;0.51%;-2.05%;;0.35%;-2.35%
30.04.2001;7.77%;-0.47%;0.69%;1.87%;-0.12%;;0.32%;-1.25%
31.05.2001;0.67%;0.65%;0.83%;1.97%;0.19%;;0.30%;1.80%
29.06.2001;-2.43%;0.80%;0.58%;5.33%;-0.70%;;0.30%;-2.81%
31.07.2001;-0.99%;-0.42%;-0.02%;-2.52%;2.29%;;0.29%;1.47%
31.08.2001;-6.26%;-4.81%;0.92%;3.20%;3.01%;;0.28%;1.18%
28.09.2001;-8.08%;-5.68%;-0.83%;-4.45%;0.78%;;0.20%;-6.72%
31.10.2001;1.91%;2.49%;0.44%;-3.55%;0.90%;;0.17%;2.47%
30.11.2001;7.67%;4.34%;0.54%;4.93%;-1.16%;;0.14%;3.65%
31.12.2001;0.88%;1.07%;1.19%;1.42%;-2.09%;;0.14%;-0.41%
31.01.2002;-1.46%;-0.16%;0.54%;-0.34%;-0.90%;;0.15%;0.70%
28.02.2002;-1.93%;0.15%;-0.56%;1.32%;0.67%;;0.15%;-1.40%
29.03.2002;3.76%;1.97%;0.74%;5.73%;-0.59%;;0.15%;2.41%
30.04.2002;-6.06%;-1.21%;0.79%;0.27%;2.96%;;0.15%;1.56%
31.05.2002;-0.74%;0.83%;0.67%;0.80%;2.24%;;0.14%;-0.52%
28.06.2002;-7.12%;-1.80%;-0.84%;2.15%;3.48%;;0.14%;-7.37%
31.07.2002;-7.79%;0.24%;-1.35%;-5.78%;0.90%;;0.14%;-4.37%
30.08.2002;0.65%;-0.37%;0.85%;-0.30%;1.63%;;0.14%;2.85%
30.09.2002;-10.87%;-2.31%;0.08%;-4.34%;1.11%;;0.13%;-1.31%
31.10.2002;8.80%;3.78%;-0.04%;-5.41%;-0.28%;;0.12%;-0.87%
29.11.2002;5.89%;5.56%;1.09%;4.02%;0.26%;;0.10%;6.19%
31.12.2002;-5.88%;-9.84%;1.07%;-0.21%;4.05%;;0.10%;1.40%
31.01.2003;-2.62%;-6.62%;1.28%;-3.14%;1.12%;;0.10%;3.33%
